name;master;sign;tel_punto_vendita;indirizzo;ac;ea;ea7;aj;aju;casa;ga;fiori;dolci;occhiali;orologi_gioielli;cosmetics;libri;tipo_store_macro;tipo_store;nazione_iso_3166;localita;tipo_rapporto;data_apertura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SEOUL;9K8201;ARMANI CASA;+82 2 5403 094;97-6 CHUNGDAM DONG,KANGNAM GU;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;KOREA SOUTH-REP.;SEOUL;RETAILER;20050401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA PARIS;9O6402;ARMANI CASA;+33 1 5363 3950;195 BOULEVARD SAINT GERMAIN;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;FRANCE;PARIS;PROPRIETA';20011117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA IL CAIRO;9SJX01;ARMANI CASA;+202 3539 0883;ABU RAWASH INDUSTRIAL ZONE;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;EGYPT;IL CAIRO;RETAILER;20061115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA DOHA;9STK01;ARMANI CASA;(+974) 44953510;SHOWROOM UNIT 186-187, 12 LA CROISETTER OIRTO ARABIA, THE PEARL;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;QATAR;DOHA;RETAILER;20080920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SAMARA;A17902;ARMANI CASA;+7 846 3375202;MICHURINA STR. 46;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;RUSSIAN FEDERATION;SAMARA;RETAILER;20060715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA LONDON;A28S01;ARMANI CASA;+44 207 368 7530;CHELSEA HARBOUR DESIGN CENTRE, WEST BROMPTON;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;UNITED KINGDOM + (NORTH IRL.);LONDON;PROPRIETA';20060920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA ALMATY;A2DS02;ARMANI CASA;+7 727 262 65 02;AL FARABI AVENUE;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;KAZAKHSTAN;ALMATY;RETAILER;20061202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA PRAHA;A2OK01;ARMANI CASA;+420 221 851 045;PRAHA CITY CENTER, KLIMENTSKA 46;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CZECH REPUBLIC;PRAHA;RETAILER;20060901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA BRATISLAVA;A2OK03;ARMANI CASA;+421 232 113 511;HODZOVO NAM.1/A, ASTORIA PALACE BUILDING;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CZECH REPUBLIC;BRATISLAVA;RETAILER;20080201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA BANGKOK;A4CZ01;ARMANI CASA;+66 2365078993;555 THONGLOR 19, SUKHUMVIT 55 RD, KLONGTON NUA, WATTANA;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;THAILAND;BANGKOK;RETAILER;20081015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA TEL AVIV;A6KP01;ARMANI CASA;+972 3 5443306;3 HATAARUCHA ST. P.O.B. 105;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;ISRAEL;TEL AVIV;RETAILER;20080115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA BEIJING;AI5102;ARMANI CASA;+86 10 65263333;NO.17 JIAN GUO MEN WAI MAIN STREET, CHAO YANG DISTRICT;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;BEIJING;RETAILER;20080401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SHANGHAI;AI5103;ARMANI CASA;+86-21-5156 9191;328  HUASHAN ROAD;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;SHANGHAI;RETAILER;20071015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA CHENGDU;AI5104;ARMANI CASA;+86-28-8621-0289;HONG DA INT'L PLAZA,N¡2 XIA NAN MAIN STREET, 1F-3F, QING YANG DISTRICT;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;CHENGDU;RETAILER;20081101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SHENZHEN;AI5105;ARMANI CASA;+86-755-25862228;ZHENYE MANSION NO.2018, BAO AN NAN ROAD, 1F-4F,;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;SHENZHEN;RETAILER;20101101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA HONG KONG;AI5106;ARMANI CASA;+852 2882 2239;1/F - 111 LEIGHTON ROAD - CAUSEWAY BAY;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;HONG KONG;HONG KONG;RETAILER;20110115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA GUANGZHOU;AI5107;ARMANI CASA;+86-20-8755 3330;NO.1 TIAN HE BEI LU ROAD - TIANHE DISTRICT;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;GUANGZHOU;RETAILER;20101101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA HANGZHOU;AI510A;ARMANI CASA;+86-571-8703-1633;NO.278 NAN SHAN ROAD SHANGCHENG DISTRICT;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;HANGZHOU;RETAILER;20110401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SINGAPORE;AI510B;ARMANI CASA;+65 6688 7555;2 BAYFRONT AVENUE NO.01-29;0;0;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;SINGAPORE;SINGAPORE;RETAILER;20110301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA QUINDAO CITY;AI510C;ARMANI CASA;+ 86 53 67771566;QINGDAO CENTER SQUARE, NO.8 YI XIANGGANG MIDDLE ROAD SHINANDISTRICT;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;CHINA;QUINDAO CITY;RETAILER;20140115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA CIUDAD DEL ESTE;AJ2V03;ARMANI CASA;+ 595 61 500405;SAX, AVENIDA SAN BLAS Y REGIMIENTO SAUCE, SHOPPING SAX, 13¡FLOOR;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;PARAGUAY;CIUDAD DEL ESTE;RETAILER;20130701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA ISTANBUL;AKUK02;ARMANI CASA;+90 0212 2878 727;NISPETIYE CAD. ALKENT YOLU, S. AHMED ACARKAN SOK N¡9, ETILER;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;TURKEY;ISTANBUL;RETAILER;20081219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA KUALA LUMPUR;ALPD01;ARMANI CASA;+603 2710 3803;F1-F3,EXPLORE FL.STARHILL GALLERY, 181 JALAN BUKIT BINTANG;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;MALAYSIA;KUALA LUMPUR;RETAILER;20080711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA MANAMA;ANNG01;ARMANI CASA;+973 1758 1166;AL-AALI SHOPPING COMPLEX;0;0;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;BAHRAIN;MANAMA;RETAILER;20090501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA BEOGRAD;APOL01;ARMANI CASA;+381 11 2258 782;OMLADINSKIH BRIGADA 90/B;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;SERBIA AND MONTENEGRO;BEOGRAD;RETAILER;20091201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA CASABLANCA;AX1L01;ARMANI CASA;+212 5 2222 5778;9 RUE ESSANANI RES, HAMZA BD. DU PHARE;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;MOROCCO;CASABLANCA;RETAILER;20061215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA ST. PETERSBURG;AXFU01;ARMANI CASA;+7 812 331 50 17;ZHUKOVSKOGO STREET 22;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;RUSSIAN FEDERATION;ST. PETERSBURG;RETAILER;20121020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA MIAMI;AZ7701;ARMANI CASA;+1 305 573 4331;10 NE 39TH STREET, MIAMI DESIGN DISTRICT;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;UNITED STATES;MIAMI;RETAILER;20120301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA HELSINKI;B1D601;ARMANI CASA;+35 89 6818 220;NIETSYTPOLKU 5;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;FINLAND;HELSINKI;RETAILER;20121015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SAO PAULO;B2Z001;ARMANI CASA;+55 11 4564 0074;ALAMEDA GABRIEL MONTEIRO DA SILVA, 786 - JARDIM AMERICA;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;BRAZIL;SAO PAULO;RETAILER;20120601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA SINGAPORE;B2ZL01;ARMANI CASA;+65 6468 6333;DA VINCI COLLECTION, 191 UPPER BUKIT TIMAH ROAD;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;SINGAPORE;SINGAPORE;RETAILER;20110301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
